Summary,Issue Type,Epic Link,Priority,Description,Labels,Story Points
US-1.1,Story,EPIC-01: Auth & Onboarding,P0,"Como usuario registrado, quiero iniciar sesion con email y contrasena, para acceder al sistema.",auth,5
US-1.2,Story,EPIC-01: Auth & Onboarding,P0,"Como paciente nuevo, quiero registrarme con mi email y contrasena, para poder acceder a mi informacion.",auth,5
US-1.3,Story,EPIC-01: Auth & Onboarding,P1,"Como usuario que olvido su contrasena, quiero solicitar un restablecimiento, para recuperar el acceso.",auth,3
US-1.5,Story,EPIC-01: Auth & Onboarding,P0,"Como odontologo, quiero registrarme y crear mi clinica con su equipo inicial, para empezar a usar el sistema.",auth,registro-clinica,5
US-1.6,Story,EPIC-01: Auth & Onboarding,P1,"Como usuario autenticado, quiero cerrar sesion, para proteger mi cuenta.",auth,3
US-1.7,Story,EPIC-01: Auth & Onboarding,P0,"Como paciente sin clinica asignada, quiero buscar clinicas afiliadas por nombre, para elegir donde atenderme (MVP sin busqueda geografica).",auth,busqueda-clinicas,3
US-1.8,Story,EPIC-01: Auth & Onboarding,P0,"Como paciente, quiero afiliarme a una clinica encontrada en la busqueda, para acceder a sus odontologos y servicios.",auth,busqueda-clinicas,3
T-1.1,Task,EPIC-01: Auth & Onboarding,,"Configurar Supabase Auth (email/password)",auth,5
T-1.2,Task,EPIC-01: Auth & Onboarding,,"Crear tabla perfiles y trigger de sync con auth.users",auth,5
T-1.3,Task,EPIC-01: Auth & Onboarding,,"Crear middleware de autenticacion (JWT + clinica_id)",auth,8
T-1.4,Task,EPIC-01: Auth & Onboarding,,"Implementar pagina de login",auth,5
T-1.5,Task,EPIC-01: Auth & Onboarding,,"Implementar formulario de registro de paciente",auth,5
T-1.6,Task,EPIC-01: Auth & Onboarding,,"Implementar flujo de recuperacion de contrasena",auth,3
T-1.8,Task,EPIC-01: Auth & Onboarding,,"Crear wizard de alta de clinica y equipo (odontologo crea su clinica y da de alta a su personal)",auth,registro-clinica,8
T-1.9,Task,EPIC-01: Auth & Onboarding,,"Implementar ProtectedRoute y role-based routing",auth,5
T-1.10,Task,EPIC-01: Auth & Onboarding,,"Configurar RLS para perfiles",auth,5
T-1.11,Task,EPIC-01: Auth & Onboarding,,"Implementar cierre de sesion",auth,3
T-1.12,Task,EPIC-01: Auth & Onboarding,,"Crear hooks de autenticacion (useAuth, useUser)",auth,5
T-1.14,Task,EPIC-01: Auth & Onboarding,,"Implementar pestana de busqueda de clinicas por nombre (sin radio 5 km)",auth,busqueda-clinicas,5
T-1.15,Task,EPIC-01: Auth & Onboarding,,"Implementar flujo de afiliacion del paciente a una clinica",auth,busqueda-clinicas,5
US-2.1,Story,EPIC-02: Pacientes,P0,"Como recepcionista u odontologo, quiero registrar un paciente nuevo con sus datos, para tener su informacion en el sistema.",pacientes,8
